,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Muscular_Weakness,0.008930990373789638,0.09123975192671847,0.5353838964664368,-0.025835539089033976,0.051023566225983065,0.022226967765190443,0.003022896403087939,-0.00792207790927512,0.08169999553795278,0.06409045720139166,0.039821897910853735,0.13220727324154952,0.03964956918414417,0.05649169354214711,-0.005522592512615168,0.025333297453676417,-0.030998838160046543,0.04766796487044561,0.13967933467152163,-0.03218272187061517
Spasticity,-0.030913651497488728,0.0011640500153345214,0.31858572956299624,-0.01488908922819001,0.05461381957033891,0.01253678722060099,-0.009370046403172282,-0.016321532350110107,0.11088552391979936,-0.03513948545916077,-0.01764015380740748,0.07640204405991623,-0.002977498913748612,0.11159788672634756,-0.0035457584201329657,0.0018593969739740324,0.017016416677927058,-0.031054444000405298,0.022662102714536256,-0.07401552966869371
Hyperreflexia_and_oth_reflexes,0.04738101278993649,0.1077093696217797,0.6189922145259088,0.00706195360011492,0.007025150481896444,-0.0003144423369000553,0.004350264936605029,-0.003343001247765358,-0.03498872472512034,0.008308979427868504,0.019588939800156,0.04697793340339748,0.038835723097085294,0.04334009602581983,-0.002069193783018712,-0.00275496696758849,-0.020136840067062605,-0.023798984298098905,-0.018337446735935164,0.03490705737331575
Fasciculations,0.016720181331605938,0.018638022376438024,0.12024738227575311,0.00599987796252066,0.01624625054810075,0.010459469951679477,-0.018757700019288302,0.002477789403955863,-0.019645499875892154,-0.010087549229053328,0.01903209710169598,0.1560624856897941,-0.005837360862035278,-0.031098826629191865,-0.012145246360347162,0.0033554208705643923,-0.02121674883946345,-0.08079455133573508,0.0929838983789042,0.011680096063500083
Positive_sensory_symptoms,-0.02733237791531577,0.03301549314147894,0.30134574198481956,-0.028356443140409342,-0.01418106259217271,0.018288497849632497,-0.0096907177395407,-0.0030398515892994687,-0.036505981110662895,-0.02063134062995091,0.03172689813340093,-0.052518215101635186,-0.019092430591893715,0.03707081423041865,0.014876006373412323,0.00705138627403458,0.003368979842535207,0.13802528101547895,0.1347630034972247,0.020366243022062334
Negative_sensory_symptoms,0.01875389005025189,0.01657946274703514,0.5409221099703202,-0.004601986357556263,-0.009320226372775643,-0.013126452594244817,0.0081633677283022,-0.007039712994353655,-0.03628236790827278,0.015520006856279266,0.0012767433731009949,-0.027741872748309592,-0.0036305977074121,0.04822825984138288,0.021884952870063798,0.01412779135400498,-0.003269617431326345,0.04020586087693751,0.053358640702656585,0.032571170582721916
Parkinsonism,0.041969233278064656,0.5486278764347655,-0.006314711923395136,0.011247618419591479,0.022341392445751063,0.033235858519005824,0.018511367981005028,0.03813405983426841,0.0690608180543419,0.06303096086776513,0.13675570861486733,-0.026839044852181394,0.00396015393797279,0.025895195279782447,-0.008188666552641218,0.03215729411501802,-0.01764326352409111,-0.035423977862186595,0.03228817107080904,-0.027283730725257253
Facial_masking,0.07826189754248751,0.5755176592772984,0.03346042939137996,0.025024684859253493,-0.004592822073367528,0.02831932288213201,-0.003176055393709689,0.0009599493419815558,-0.02280084763582803,0.023378957266800383,-0.020083526670777892,0.0729996740041124,1.1843458399546557e-05,0.01877464159609558,0.0012392645889277205,-0.016326756436221817,0.02078349111735577,-0.022434006370248134,-0.025645523230636375,0.02000085052135888
Tremor,0.011851364228187836,0.47782218772912605,0.11548217466260381,0.013851741951168754,0.008995583878435456,0.061788890230028745,0.013557110250950414,0.005844627492322207,0.021161818817956944,-0.0033078669293198294,0.018590102608090152,-0.01786580463275118,-0.019457632945589096,0.0020112557350677024,0.01579044833896418,-0.01972050003827868,0.0006740794093278557,0.039767329089446746,-0.028474359956506837,-0.04316662224652451
Bradykinesia,0.13662148482152334,0.6455331321591121,0.054170496496853945,0.0290193520699488,-0.0015527303395029334,0.011649824426049839,0.012081782346965868,0.01340432630436102,0.015847170754723472,0.12133298199884154,0.006477059183243253,0.08172862948845913,0.01614753005326086,0.02253883436660724,-0.028476792551178718,0.02005427144295367,0.07484376828610854,0.009118449640097575,0.03977798400169006,0.06373135090648231
Rigidity,0.03589050239633679,0.6440303433934457,0.07253199013246543,0.07645833857930359,0.035419168713805016,-0.004166687330450501,0.003512011452214422,0.027193810479969823,0.04924655767819967,0.053207081243024854,0.018367190829380774,0.06396281690142695,0.0212361239472968,0.03751932878554727,-0.014716374242979056,-0.030015996390055127,0.07069010614911546,-0.0259896310966439,0.07309296604929133,0.011953261091433546
Vertigo,0.009946293419483542,0.017578518823176927,0.038302460724999966,-0.0042682127544426,0.0014252377524169506,0.0168384341792526,-0.013709737611441744,-0.012569999142181234,-0.03252740592049036,0.07075527115144929,-0.014136380854355523,-0.014469492325211398,0.004394318877368266,-0.012442564187919796,0.008212750672630241,-0.0038995140615917957,0.017824927244870253,0.14880953133088742,-0.0023193936039227923,-0.018429088956317674
Nystagmus,-0.02238941968652317,0.004164837066605345,0.3151141579067744,0.012337012421344887,-0.003918744931107424,-0.007155873696605996,-0.008399501575038184,0.0005558405290718664,-0.027610334308706422,0.009039552900198613,-0.006871059796073655,0.018585137938537808,-0.02296625473687153,0.003299339910768302,0.002791102969305152,-0.0075115673980446,0.006422578458055564,0.08616091716292426,-0.19143125693749485,-0.002075209683134119
Loss_of_coordination,0.052662921367029596,0.15688348828234122,0.5652154442407249,-0.011242955952407567,-0.005029596829550276,0.005944671431308202,-0.007967009356801037,0.013658724470307693,0.0038736989792891897,0.1162194188657106,-0.07884914778692696,0.05006404175780273,0.004973303006604544,0.0212200776583375,-0.026107388460214757,-0.021462211507265537,0.028967646928925513,0.060389912515485145,-0.20279131508981862,0.0076946985520943475
Balance_problems,0.057096646850143346,0.24196806755051195,0.20705732333227447,0.03179257738258751,0.01402866917863139,0.013999065689888542,0.002093298836218166,0.006779920451818782,0.030219413756275106,0.3380306462611092,-0.07026240297647485,0.05835334064394655,0.010961176552533081,0.04093955006477958,0.013909727458800123,0.008098877847505487,0.06580169907299864,0.10654432052171049,-0.05491857577487902,0.00602754580657038
Frequent_falls,0.0502749084571806,0.15337536067054255,0.048170437993658895,0.11780484253811671,0.05320251744002079,0.011626399624930535,0.00740175347210357,0.008448359142334409,0.07936841946778954,0.45554003896734657,0.13026696209650923,0.07854327020604046,-0.008774714621919179,0.039347342589842696,0.009963961539731673,0.0108836077903723,-0.013434004972593769,0.046664718720101264,0.01070181128310298,-0.010513773468145447
Decreased_motor_skills,0.10891848821594519,0.3179887641817436,0.1950887210952916,-0.034637536878728385,-0.000661837383113917,0.019050950309596328,0.00017843997159215863,0.013402274234605304,0.047581271402193516,0.07108690346797672,-0.018693413134089357,0.08205949166900472,0.02995740724520238,-0.00045142500347566706,-0.03178855711581696,0.0702830332595134,0.034571400764711664,0.05225017342769633,-0.04235446384762429,0.008786458803462445
Mobility_problems,0.052087012129672816,0.22946709858650385,0.2963646936383479,0.09104119501132603,0.08785876256128772,0.026907838756530415,-0.0222537724176253,0.0053775312427135425,0.26508328496359895,0.2476888174027337,0.0005959539526054344,0.07374279903148348,-0.0008164394315273912,0.10330190317595064,-0.018914242725357258,-0.01533404252924803,0.07694390413973884,0.06888768520228776,0.06440507259033676,-0.019676157840294032
Dementia,0.5107416529639979,0.0672407252068186,-0.012818386371178036,0.12317745673349514,0.09583935442990325,0.0596399363514509,0.0022157031370397583,0.08363063040575631,0.13890931768795298,0.07778780514019126,0.14485325695591955,-0.04842740478082055,0.09452792015262396,-0.009252777529283218,0.0448266267832648,0.05575932695647984,0.0008141332880342725,-0.05944063477192079,-0.021548476675454863,0.0589516229967086
Bradyphrenia,0.31813664395029984,0.18213662352068183,0.03429580676648342,-0.009986862704504565,0.001956926315218103,0.046904998707023665,0.05259922605744952,0.010302401415763591,0.008041070346690136,0.062065016849291846,0.08306928793622644,0.01978847498943158,-0.011208997102895588,0.020571837085162522,-0.07146948960262788,0.07401232779859201,0.07462288267612578,0.044694204333483534,-0.06184722985274386,-0.06160190507551336
Lack_of_insight,0.35576547079759474,0.014007551271383232,0.006069156130305236,0.25767777293283856,0.018797942933753413,-0.008496836929320881,0.07691487573113931,0.051979162409726,0.06580660997965644,-0.0012551053363430917,-0.037497744392647095,0.020863121078453437,0.0006180550072969728,0.023696936156977315,0.21175983281471997,0.12085569029930426,-0.0015194143737196155,0.027652279108412527,-0.010676088995734329,-0.019858618567337515
Facade_behavior,0.13014346595779983,-0.016956371661028185,-0.0069611420701127255,0.040690179650212016,0.008502401554176968,0.012342203109715141,-0.0185136885590841,0.024114523646983136,0.05254534286775449,0.017820268725275396,-0.014600043023907177,-0.021410955176158892,0.013727891951355414,-0.02288175613281063,0.3654612641557549,-0.022877363413381674,-0.006797738591419663,-0.002921746397983713,0.010199973406372563,0.040911287955012796
Memory_impairment,0.6848953740137635,0.07472209656868314,0.027888754953522644,0.09374562859494262,0.004112218446095761,0.06233624875501583,0.003019006514101976,0.04580576317551453,0.01661089412896265,0.042147254520585486,0.04623502123314957,0.0025196827021914336,0.020879186621882696,0.037070532895444715,0.05344834622324649,-0.06999327837525063,0.011638097342098532,0.029751619009741107,0.008217125986122356,-0.012846667328032626
Amnesia,0.15684486623990587,-0.017026494451482202,0.0015595816239302538,0.025635451996630785,-0.008211182646897594,0.015237160762641179,0.003546818897552311,0.01130036686632557,-0.0025107633273395305,-0.012114336022331262,0.015300708131731507,-0.010308510384900469,0.014558471929987134,-0.001386730110458515,0.09387297998995246,-0.07826128627913742,-0.037741716675596074,0.01603348174004908,0.019701791631270185,0.06256292818835742
Forgetfulness,0.3244057150804411,0.027400605443513436,-0.010900755889842125,0.0536067263964586,-0.006536139656183329,0.10167142166629146,-0.02122781304275102,0.007640188534519723,0.06154445227094235,0.03280778577394985,0.07008834179879458,0.0004358812875290284,-0.021558049550122936,-0.005023980881130792,0.051841445555354956,-0.014824297531013874,0.04525294213891499,0.0798959286112465,0.02855314703612597,0.15584960302167253
Imprinting_disturbances,0.4951107358920288,0.02051657033028934,0.02522842606752501,0.06953977528417864,-0.0036098431756944093,0.00686658453233646,0.00217266123827356,0.020194035614383266,-0.00983586433169375,-0.02170153346856111,-0.032101493742393586,0.016216130586668768,0.032862907092130376,0.004117040576985992,0.12749969887517593,-0.10255539886289126,-0.030598671084285954,0.02859562612073958,-0.01365657443594952,-0.079098755989428
Impaired_recognition,0.23663222297818373,0.008830174631333535,-0.004350183978883486,0.17337136105389386,0.029042245542248758,-0.011564009845420121,-0.018896201168940262,0.04652817460175369,0.10857193839571251,-0.043045342954585585,0.007411545716884134,0.013953630584088765,0.06649312487918485,0.0061758846750107795,0.049986000439344494,-0.005867285007555455,0.03367058341392424,0.08163590665577052,0.001821709250812866,0.07942115408804558
Confabulations,0.21101691257262947,0.0020750035715996593,0.004768771653288477,0.08777353632853334,-0.006006959523757822,3.3329551056091483e-05,0.011917027404476276,0.06111118685729178,-0.005700778984619517,-0.010204666506518474,0.02861828789585455,0.004198366835609159,0.010695917461242564,-0.008458356949304413,0.3814379241863852,0.040573446066455764,-0.00258356097264687,-0.011554794595633447,-0.02100270098970997,-0.05422935966648978
Disorientation,0.576986393117785,0.023027298365263474,0.0038076197306128917,0.27874984439802875,0.014902494947258663,-0.025332478695616386,0.03989871466568418,0.09096607651488837,0.064232473281358,-0.003526077921883684,0.11707935513726947,0.00979700436258785,0.039053099513618406,0.06826043992722822,0.1504090392607845,-0.20385865270329123,-0.04423332186547469,0.01244594235666076,0.007475872712527539,0.017143305318690502
Wandering,0.12605974538535547,-0.0008396760149472858,-0.010249554638397744,0.35136140658606396,-0.012460928882546003,-9.122341017219278e-05,0.0016014944902101682,0.027962478781926123,0.07439865411862533,-0.006087782619436556,0.04982568773455055,-0.00428296899887243,0.032176460174377,-0.001070436294223251,0.09331402272879502,-0.040770900627496554,-0.028723977719427758,0.02493672330237293,-0.011545573817778931,-0.049401262422174276
Confusion,0.18573481438624886,0.052548809426291976,0.008340427975358505,0.16650938844913885,0.07751972637411735,0.05438764766372203,0.03283486253240434,0.14366029574598227,0.01492702717925176,0.04615660561848701,0.3284403142950342,0.03380745011259944,0.019557724297014766,0.07813780607277145,0.07734718658575708,-0.041650311974728675,0.07542935018641284,0.06944486502716751,0.03574520565617352,0.06827429666651548
Aphasia,0.1660193946767124,0.006260049171049565,0.013949685033878981,0.08832819539980874,0.017446520493436077,-0.01991879464045122,0.0006558800876042591,-0.009731672622252826,0.03699114723688423,-0.023379056276075536,0.033733176116003044,0.04048219445290352,0.5260556658472064,0.007319381075603204,0.007533059181096383,0.004391471777430998,-0.029050102184356844,0.04832480538878488,0.0027174343508276784,0.005370495133830488
Word_finding_problems,0.44826647241564244,0.056418043024388125,0.018865322545216993,0.04657100457393006,-0.01297041193469454,0.024767420858238205,-0.032260909704046443,0.0231762461766384,0.007721455224398377,0.0030440090787149437,0.06077843254206354,0.09320793326278447,0.19657378996687808,-0.018993458471922874,0.04348461942693965,0.0997978781418132,0.02100293411760475,0.07978100551493118,0.012837681351176423,0.07257813513822131
Language_impairment,0.30850718463025584,0.153043810935536,0.08703582187780771,0.0753931001065354,0.06533859274634922,0.009826932080761368,0.03484565936902217,0.007365424033131483,0.12197399903744924,0.03244414375357978,0.023556989437122446,0.3186725254675541,0.14439333162583926,0.019799735946950597,0.006411011166068607,0.16483983730388235,0.06252947489622601,0.08821221511934862,-0.002074864280590083,0.059081628465800715
Communication_problems,0.13578075368590217,0.037586356289262414,-0.010717721530055364,0.10419468634564714,0.11182838918996016,0.011156912894430951,-0.008480946540431359,0.007724136417828106,0.20505349769949097,-0.011570356008553566,0.008417880215050313,0.11623893421773203,0.10046467197263056,-0.00937798007560298,0.04126705854975985,0.1053366404500558,0.034220702277558905,0.04519484017360969,-0.03639959368044109,0.028867651070871397
Dysarthria,0.07093842638926541,0.1673209251115923,0.25215377590720606,-0.012004059985799268,0.006186386191325402,0.01201509940096376,-0.0031301844430124673,-0.011364531294172113,0.020162619393091802,0.11298706646468362,0.008305566533125123,0.37968681235576923,0.041627916124320166,0.031763283669509965,-0.01696627475658322,-0.011413532429945751,0.004411905389502888,-0.006302430051095958,-0.1350124511211861,0.013370518847619792
Apraxia,0.29232121893948465,0.06526663899078515,0.012577278203146145,0.16866566041189196,0.05595108750176894,0.027179909915202707,-0.014837662333291948,0.030043795808961903,0.07870785377730956,0.02161588053447355,0.012150498329042593,0.003957237588778248,0.3266534363912826,0.02035734686488279,0.051750538578905256,-0.04337915168957498,0.015395949045668282,0.012518487421474083,-0.009201506972250901,-0.01104394908385919
Executive_function_disorder,0.5091268829574644,0.06282002495360733,0.011670112712315626,0.09396412519828014,0.0003734555820454704,0.030381398462938386,0.05885125330432811,0.039080356348955486,-0.0029988338652617956,0.04612034724798831,-0.020444484973916294,0.007333644911979435,0.00730846017573729,-0.01590918701643688,0.011507235932390388,0.1584259371255101,0.07325611603850218,0.02566084878165709,0.00476774607228558,-0.11580884002018706
Concentration_problems,0.5326312360667164,0.09108217176580768,0.04251131787845766,0.053383375426649025,0.01811512840665998,0.10938154197190483,0.03865579418830469,0.0394192671935249,-0.0424083008912705,0.026763168331258268,0.016855310142202717,0.024213939673724882,-0.031547811214924025,0.009311158663469493,-0.03399171023252758,0.1097197937294839,0.04256063235912166,0.08419435599353314,0.01832743157785863,-0.1793218743839155
Disinhibition,0.16928597639343276,0.023285038152234684,0.023233284036145427,0.24414745756838702,0.0020787095634338926,0.034250615301445436,0.14953319410414218,0.017172748943248023,-0.00036696876618641234,0.03579723096187535,-0.020570504903062125,0.018844732067280778,0.014162448602436,0.012991455857358215,0.0039039638127371075,0.2641675566861317,0.00597863182086953,-0.040772163667265666,0.01826982286768832,-0.02047801103620585
